ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.942,KRE62,5,0.4 ,0.025 ,9.2 ,0.025 ,1.0 ,0.261592484,0.6 ,0.025 ,86237,84369,C,
orf19.941,SEC14,5,3779.6 ,0.026 ,1839.1 ,0.026 ,0.5 ,0.000429371,0.6 ,0.026 ,88250,87345,C,
orf19.940,BUD2,5,172.1 ,0.029 ,26.1 ,0.029 ,0.2 ,0.010842289,0.6 ,0.029 ,93594,89881,C,
orf19.939,NAM7,5,1145.2 ,0.038 ,777.3 ,0.038 ,0.7 ,0.053209562,0.6 ,0.038 ,95043,98102,W,
orf19.938,,5,5.1 ,0.023 ,0.2 ,0.023 ,1.0 ,0.0853654,0.6 ,0.023 ,103156,104601,W,
orf19.937,,5,80.4 ,0.030 ,78.1 ,0.030 ,1.0 ,0.593525781,0.4 ,0.030 ,105031,105504,W,
orf19.936,,5,147.9 ,0.065 ,129.8 ,0.065 ,0.9 ,0.302020188,0.5 ,0.065 ,105626,107950,W,
orf19.935,AGA1,5,1785.5 ,0.024 ,2016.2 ,0.024 ,1.1 ,0.127683642,0.6 ,0.024 ,110891,109830,C,
orf19.932,,5,408.8 ,0.072 ,299.3 ,0.072 ,0.7 ,0.07065978,0.7 ,0.072 ,125118,130268,W,
orf19.931,,5,586.3 ,0.056 ,348.0 ,0.056 ,0.6 ,0.118163997,0.6 ,0.056 ,130828,132912,W,
orf19.930,PET9,5,32362.5 ,0.025 ,25540.2 ,0.025 ,0.8 ,0.012877574,0.6 ,0.025 ,134740,135645,W,
orf19.929,,5,0.0 ,0.033 ,0.6 ,0.033 ,1.0 ,0.363217468,0.6 ,0.033 ,138904,137597,C,
orf19.928,,5,115.3 ,0.025 ,54.3 ,0.025 ,0.5 ,0.179156427,0.6 ,0.025 ,141377,139515,C,
orf19.927,,5,597.0 ,0.013 ,476.4 ,0.013 ,0.8 ,0.489530379,0.6 ,0.013 ,141659,142270,W,
orf19.926,EXO1,5,422.9 ,0.026 ,236.8 ,0.026 ,0.6 ,0.196984209,0.6 ,0.026 ,144424,142325,C,
orf19.925,,5,370.2 ,0.079 ,296.4 ,0.079 ,0.8 ,0.796502073,0.7 ,0.079 ,146292,144766,C,
orf19.923,THR1,5,660.0 ,0.066 ,444.4 ,0.066 ,0.7 ,0.10856537,0.6 ,0.066 ,147787,146714,C,
orf19.922,ERG11,5,1788.9 ,0.026 ,1100.6 ,0.026 ,0.6 ,0.103765904,0.6 ,0.026 ,149706,148120,C,
orf19.921,,5,115.6 ,0.029 ,107.5 ,0.029 ,0.9 ,0.960577113,0.6 ,0.029 ,153233,151176,C,
orf19.920,RMT2,5,226.4 ,0.027 ,129.3 ,0.027 ,0.6 ,0.013094807,0.6 ,0.027 ,156807,158162,W,
orf19.567,TFB3,5,391.0 ,0.025 ,242.9 ,0.025 ,0.6 ,0.115450455,0.6 ,0.025 ,159330,158188,C,
orf19.568,SPE2,5,3163.7 ,0.041 ,1576.7 ,0.041 ,0.5 ,0.00565533,0.6 ,0.041 ,160775,159627,C,
orf19.570,IFF8,5,16.6 ,0.037 ,12.5 ,0.037 ,1.0 ,0.341566758,0.7 ,0.037 ,164521,166665,W,
orf19.575,HYR3,5,943.8 ,0.027 ,836.3 ,0.027 ,0.9 ,0.26045027,0.5 ,0.027 ,171037,174786,W,
orf19.576,CTF8,5,1121.7 ,0.030 ,575.4 ,0.030 ,0.5 ,0.465156824,0.5 ,0.030 ,175559,176047,W,
orf19.577,,5,1094.5 ,0.044 ,811.0 ,0.044 ,0.7 ,0.019045327,0.6 ,0.044 ,178140,176158,C,
orf19.578,,5,175.2 ,0.026 ,165.3 ,0.026 ,0.9 ,0.785747591,0.6 ,0.026 ,180051,181865,W,
orf19.579,FOL1,5,542.4 ,0.030 ,312.6 ,0.030 ,0.6 ,0.10367442,0.6 ,0.030 ,184282,181916,C,
orf19.580,,5,140.0 ,0.051 ,192.8 ,0.051 ,1.4 ,0.836249038,0.7 ,0.051 ,185724,184672,C,
orf19.581,,5,411.6 ,0.041 ,365.1 ,0.041 ,0.9 ,0.86467901,0.7 ,0.041 ,188241,186145,C,
orf19.583,,5,3875.5 ,0.046 ,2724.3 ,0.046 ,0.7 ,0.029390388,0.6 ,0.046 ,190840,189518,C,
orf19.584,,5,30.4 ,0.094 ,26.9 ,0.094 ,1.0 ,0.18226585,0.7 ,0.094 ,191769,190894,C,
orf19.585,,5,807.9 ,0.055 ,497.9 ,0.055 ,0.6 ,0.342223238,0.6 ,0.055 ,194352,195203,W,
orf19.586,ERV46,5,1938.3 ,0.047 ,1166.1 ,0.047 ,0.6 ,0.037415313,0.6 ,0.047 ,196621,195377,C,
orf19.587,,5,423.3 ,0.071 ,213.3 ,0.071 ,0.5 ,0.095240236,0.7 ,0.071 ,196724,197917,W,
orf19.1981,,5,270.7 ,0.218 ,278.2 ,0.218 ,1.0 ,0.460339174,0.9 ,0.218 ,198650,199138,W,
orf19.1980,GIT4,5,33.0 ,0.048 ,20.3 ,0.048 ,1.0 ,0.052363905,0.6 ,0.048 ,201150,199552,C,
orf19.1979,GIT1,5,861.8 ,0.057 ,1034.6 ,0.057 ,1.2 ,0.896715704,0.6 ,0.057 ,204210,202603,C,
orf19.1978,GIT2,5,131.6 ,0.032 ,94.3 ,0.032 ,0.7 ,0.88796534,0.6 ,0.032 ,207953,206349,C,
orf19.1977,URA4,5,2646.9 ,0.042 ,1226.3 ,0.042 ,0.5 ,0.018650995,0.6 ,0.042 ,211286,210210,C,
orf19.1976,TRX2,5,299.7 ,0.055 ,297.5 ,0.055 ,1.0 ,0.452987073,0.6 ,0.055 ,211966,211610,C,
orf19.1975,,5,157.2 ,0.099 ,158.7 ,0.099 ,1.0 ,0.260493371,0.7 ,0.099 ,212577,213023,W,
orf19.1974,TFS1,5,3034.3 ,0.066 ,2506.0 ,0.066 ,0.8 ,0.306679333,0.7 ,0.066 ,213880,213101,C,
orf19.1973,HAP5,5,623.4 ,0.050 ,313.2 ,0.050 ,0.5 ,0.072258816,0.6 ,0.050 ,215592,214546,C,
orf19.1972,,5,969.1 ,0.051 ,748.9 ,0.051 ,0.8 ,0.164728565,0.6 ,0.051 ,217288,215867,C,
orf19.1971,,5,953.0 ,0.039 ,682.2 ,0.039 ,0.7 ,0.411482045,0.6 ,0.039 ,218221,219705,W,
orf19.1970,,5,328.4 ,0.038 ,313.4 ,0.038 ,1.0 ,0.280819987,0.6 ,0.038 ,221192,220488,C,
orf19.1969,CCW14,5,9.7 ,0.051 ,6.8 ,0.051 ,1.0 ,0.897411908,0.7 ,0.051 ,221848,222663,W,
orf19.1968.1,,5,271.9 ,0.048 ,166.9 ,0.048 ,0.6 ,0.034480525,0.7 ,0.048 ,222946,222671,C,
orf19.1968,,5,139.6 ,0.033 ,146.7 ,0.033 ,1.1 ,0.598416276,0.6 ,0.033 ,223546,223869,W,
orf19.1967,,5,782.0 ,0.037 ,626.9 ,0.037 ,0.8 ,0.243348777,0.6 ,0.037 ,224544,223938,C,
orf19.1966,BUD23,5,3235.4 ,0.032 ,2497.6 ,0.032 ,0.8 ,0.291356694,0.6 ,0.032 ,225614,224799,C,
orf19.1964,,5,339.3 ,0.025 ,229.6 ,0.025 ,0.7 ,0.813092176,0.6 ,0.025 ,227465,225963,C,
orf19.1963,,5,1523.9 ,0.026 ,663.6 ,0.026 ,0.4 ,0.041043575,0.6 ,0.026 ,231072,229549,C,
orf19.1961,,5,697.8 ,0.047 ,355.5 ,0.047 ,0.5 ,0.016898193,0.6 ,0.047 ,236456,234864,C,
orf19.1960,CLN3,5,496.6 ,0.017 ,167.6 ,0.017 ,0.3 ,0.040567231,0.6 ,0.017 ,245611,244214,C,
orf19.1959,,5,423.4 ,0.041 ,213.5 ,0.041 ,0.5 ,0.091546033,0.6 ,0.041 ,253350,254321,W,
orf19.1958,,5,4.0 ,0.044 ,0.0 ,0.044 ,1.0 ,0.422649731,0.7 ,0.044 ,254747,255256,W,
orf19.1957,CYC3,5,1755.9 ,0.043 ,1881.6 ,0.043 ,1.1 ,0.808892341,0.6 ,0.043 ,261888,262682,W,
orf19.1956,,5,1338.7 ,0.044 ,597.4 ,0.044 ,0.4 ,0.296527391,0.6 ,0.044 ,265067,262806,C,
orf19.1955,,5,111.8 ,0.038 ,74.6 ,0.038 ,0.7 ,0.751135775,0.6 ,0.038 ,266079,266809,W,
orf19.1954,PUS4,5,674.1 ,0.057 ,704.1 ,0.057 ,1.0 ,0.970500002,0.6 ,0.057 ,266976,268136,W,
orf19.1953,,5,235.6 ,0.043 ,435.5 ,0.043 ,1.8 ,0.376118583,0.6 ,0.043 ,268278,269390,W,
orf19.1950,,5,1034.3 ,0.067 ,928.2 ,0.067 ,0.9 ,0.707592557,0.7 ,0.067 ,269484,269954,W,
orf19.1949,VPS1,5,2797.9 ,0.097 ,2249.7 ,0.097 ,0.8 ,0.439018224,0.7 ,0.097 ,270302,272383,W,
orf19.1948,,5,411.3 ,0.030 ,226.5 ,0.030 ,0.6 ,0.016706675,0.6 ,0.030 ,273059,274360,W,
orf19.1946,,5,1459.3 ,0.023 ,703.0 ,0.023 ,0.5 ,0.048220069,0.6 ,0.023 ,275380,274481,C,
orf19.1945,AUR1,5,739.3 ,0.032 ,316.0 ,0.032 ,0.4 ,0.018606303,0.6 ,0.032 ,277008,278423,W,
orf19.1944,GPR1,5,512.1 ,0.050 ,403.1 ,0.050 ,0.8 ,0.254844308,0.6 ,0.050 ,280836,283307,W,
orf19.1943,,5,163.3 ,0.050 ,124.8 ,0.050 ,0.8 ,0.58896824,0.5 ,0.050 ,283868,286240,W,
orf19.1942,SGE1,5,778.2 ,0.040 ,483.1 ,0.040 ,0.6 ,0.006222869,0.6 ,0.040 ,286755,288638,W,
orf19.1941,NUF2,5,349.2 ,0.042 ,195.1 ,0.042 ,0.6 ,0.075504509,0.6 ,0.042 ,290129,288720,C,
orf19.1940,,5,714.1 ,0.087 ,918.9 ,0.087 ,1.3 ,0.184411015,0.6 ,0.087 ,291183,290443,C,
orf19.1939,,5,16.5 ,0.054 ,9.9 ,0.054 ,1.0 ,0.262136692,0.6 ,0.054 ,292571,291477,C,
orf19.1938,,5,124.0 ,0.055 ,107.9 ,0.055 ,0.9 ,0.163895037,0.6 ,0.055 ,293764,294402,W,
orf19.1936,SNF1,5,1990.1 ,0.056 ,1429.9 ,0.056 ,0.7 ,0.242319401,0.6 ,0.056 ,294667,296523,W,
orf19.1935,,5,400.7 ,0.020 ,276.7 ,0.020 ,0.7 ,0.363786434,0.6 ,0.020 ,296722,297168,W,
orf19.1934,,5,168.5 ,0.020 ,100.8 ,0.020 ,0.6 ,0.27801959,0.5 ,0.020 ,297649,299112,W,
orf19.1933,,5,368.9 ,0.032 ,199.9 ,0.032 ,0.5 ,0.222610198,0.6 ,0.032 ,299586,301436,W,
orf19.1932,CFL4,5,3.3 ,0.077 ,0.0 ,0.077 ,1.0 ,0.363217468,0.7 ,0.077 ,303390,305522,W,
orf19.1930,CFL5,5,8.4 ,0.041 ,18.6 ,0.041 ,1.0 ,0.162687657,0.6 ,0.041 ,308765,310897,W,
orf19.1927,SNM1,5,228.4 ,0.032 ,407.7 ,0.032 ,1.8 ,0.215555886,0.6 ,0.032 ,311744,311136,C,
orf19.1926,SEF2,5,471.5 ,0.029 ,399.3 ,0.029 ,0.8 ,0.630620121,0.6 ,0.029 ,313356,315341,W,
orf19.4131,,5,1949.2 ,0.017 ,1479.1 ,0.017 ,0.8 ,0.311854718,0.6 ,0.017 ,317987,315402,C,
orf19.4132,,5,12713.7 ,0.016 ,13880.5 ,0.016 ,1.1 ,0.802252447,0.7 ,0.016 ,318368,318687,W,
orf19.4133,,5,555.7 ,0.050 ,429.0 ,0.050 ,0.8 ,0.163497757,0.7 ,0.050 ,320892,319510,C,
orf19.4134,,5,415.1 ,0.057 ,456.0 ,0.057 ,1.1 ,0.869518746,0.6 ,0.057 ,322260,321043,C,
orf19.4135,PRC2,5,1795.9 ,0.097 ,1568.5 ,0.097 ,0.9 ,0.535054758,0.6 ,0.097 ,322744,324240,W,
orf19.4136,YBL053,5,451.2 ,0.035 ,177.6 ,0.035 ,0.4 ,0.093761746,0.6 ,0.035 ,324438,328229,W,
orf19.4142,,5,408.2 ,0.028 ,209.1 ,0.028 ,0.5 ,0.00599013,0.6 ,0.028 ,329793,328285,C,
orf19.4143,,5,173.1 ,0.060 ,212.9 ,0.060 ,1.2 ,0.473107209,0.7 ,0.060 ,330482,330910,W,
orf19.4144,,5,563.0 ,0.061 ,586.8 ,0.061 ,1.0 ,0.910545601,0.7 ,0.061 ,332823,331012,C,
orf19.4145,ZCF20,5,304.1 ,0.026 ,182.2 ,0.026 ,0.6 ,0.049226792,0.5 ,0.026 ,336412,333155,C,
orf19.4146,SMD3,5,1032.7 ,0.050 ,1254.1 ,0.050 ,1.2 ,0.472885497,0.8 ,0.050 ,338300,338620,W,
orf19.4147,GLR1,5,3418.5 ,0.072 ,3066.6 ,0.072 ,0.9 ,0.35672782,0.6 ,0.072 ,340319,338769,C,
orf19.4148,,5,388.4 ,0.032 ,165.8 ,0.032 ,0.4 ,0.260168292,0.6 ,0.032 ,342233,340785,C,
orf19.4149.1,,5,0.0 ,0.044 ,0.0 ,0.044 ,1.0 ,NA,0.7 ,0.044 ,342916,343766,W,
orf19.4149,,5,32357.1 ,0.032 ,21473.5 ,0.032 ,0.7 ,0.03220147,0.7 ,0.032 ,343904,343416,C,
orf19.4150,,5,570.5 ,0.029 ,305.6 ,0.029 ,0.5 ,0.118342796,0.6 ,0.029 ,344807,344118,C,
orf19.4151,SPO1,5,56.2 ,0.055 ,70.8 ,0.055 ,1.0 ,0.614890286,0.6 ,0.055 ,347570,345240,C,
orf19.4152,CEF3,5,7538.0 ,0.029 ,4222.0 ,0.029 ,0.6 ,0.085896209,0.6 ,0.029 ,351071,347919,C,
orf19.4153,,5,62.9 ,0.014 ,63.0 ,0.014 ,1.0 ,0.336241864,0.7 ,0.014 ,353433,355034,W,
orf19.6298,SPB4,5,171.8 ,0.048 ,20.4 ,0.048 ,0.1 ,0.00957364,0.4 ,0.048 ,357106,355211,C,
orf19.6297,,5,214.2 ,0.022 ,113.2 ,0.022 ,0.5 ,0.027643332,0.6 ,0.022 ,357170,358639,W,
orf19.6296,,5,136.6 ,0.024 ,175.7 ,0.024 ,1.3 ,0.216423068,0.6 ,0.024 ,359455,358670,C,
orf19.6295,MAS2,5,873.5 ,0.028 ,636.1 ,0.028 ,0.7 ,0.188289139,0.6 ,0.028 ,360974,362542,W,
orf19.6294,MYO1,5,349.0 ,0.033 ,111.4 ,0.033 ,0.3 ,0.005611304,0.6 ,0.033 ,368537,362691,C,
orf19.3208,DAL52,5,78.9 ,0.035 ,65.2 ,0.035 ,1.0 ,0.35280718,0.6 ,0.035 ,375493,377133,W,
orf19.3207,CCN1,5,159.1 ,0.036 ,67.1 ,0.036 ,0.4 ,0.07326249,0.6 ,0.036 ,379759,377678,C,
orf19.3206,CCT7,5,3814.3 ,0.042 ,3334.0 ,0.042 ,0.9 ,0.145721946,0.6 ,0.042 ,384157,382508,C,
orf19.3205,,5,327.1 ,0.046 ,228.4 ,0.046 ,0.7 ,0.330818086,0.6 ,0.046 ,384458,385090,W,
orf19.3204,,5,207.1 ,0.037 ,222.8 ,0.037 ,1.1 ,0.663146165,0.7 ,0.037 ,387527,385311,C,
orf19.3203,RCY1,5,72.8 ,0.028 ,50.8 ,0.028 ,1.0 ,0.96637927,0.6 ,0.028 ,390336,387781,C,
orf19.3202,,5,299.0 ,0.025 ,218.2 ,0.025 ,0.7 ,0.058593118,0.6 ,0.025 ,390739,393300,W,
orf19.3201,MTLA1,5,19.6 ,0.008 ,0.0 ,0.008 ,1.0 ,0.082872576,0.1 ,0.008 ,394488,393526,C,
orf19.3200,MTLA2,5,0.0 ,0.010 ,4.8 ,0.010 ,1.0 ,0.363217468,0.0 ,0.010 ,395253,394593,C,
orf19.3199,PIKA,5,867.3 ,0.009 ,90.6 ,0.009 ,0.1 ,0.002541845,0.0 ,0.009 ,398238,395368,C,
orf19.3198,OBPA,5,1474.4 ,0.007 ,26.6 ,0.007 ,0.0 ,0.000355349,0.0 ,0.007 ,400104,398803,C,
orf19.3197,PAP1,5,977.9 ,0.006 ,226.4 ,0.006 ,0.2 ,0.002407183,0.1 ,0.006 ,400510,402177,W,
orf19.3196,,5,138.1 ,0.019 ,173.8 ,0.019 ,1.3 ,0.805895429,0.2 ,0.019 ,402787,402485,C,
orf19.3195,HIP1,5,1771.8 ,0.034 ,2550.8 ,0.034 ,1.4 ,0.054338036,0.6 ,0.034 ,404634,402835,C,
orf19.3193,FCR3,5,876.8 ,0.054 ,605.6 ,0.054 ,0.7 ,0.006554342,0.5 ,0.054 ,407977,409176,W,
orf19.3192,STI1,5,1823.6 ,0.025 ,1154.4 ,0.025 ,0.6 ,0.060532181,0.5 ,0.025 ,409958,411727,W,
orf19.3190,HAL9,5,144.0 ,0.009 ,2.4 ,0.009 ,0.0 ,0.001186295,0.3 ,0.009 ,415006,411974,C,
orf19.3188,TAC1,5,429.9 ,0.056 ,292.5 ,0.056 ,0.7 ,0.140232874,0.6 ,0.056 ,419375,416430,C,
orf19.3187,ZNC1,5,146.9 ,0.023 ,155.2 ,0.023 ,1.1 ,0.464072992,0.5 ,0.023 ,423724,420956,C,
orf19.3186,,5,58.7 ,0.062 ,57.6 ,0.062 ,1.0 ,0.575473913,0.6 ,0.062 ,424411,424746,W,
orf19.3185,,5,1397.3 ,0.050 ,1085.2 ,0.050 ,0.8 ,0.352823741,0.6 ,0.050 ,424769,427117,W,
orf19.3184,,5,2020.0 ,0.024 ,2065.9 ,0.024 ,1.0 ,0.446076371,0.6 ,0.024 ,427872,427225,C,
orf19.3183,,5,359.1 ,0.051 ,250.8 ,0.051 ,0.7 ,0.310980466,0.7 ,0.051 ,428137,428811,W,
orf19.3181.1,,5,1448.0 ,0.094 ,691.3 ,0.094 ,0.5 ,0.008224945,0.6 ,0.094 ,429048,428884,C,
orf19.3182,GIS2,5,9326.2 ,0.153 ,7540.8 ,0.153 ,0.8 ,0.109500849,0.6 ,0.153 ,429623,430150,W,
orf19.3180,,5,160.3 ,0.066 ,94.9 ,0.066 ,0.6 ,0.122476409,0.6 ,0.066 ,432245,430872,C,
orf19.3178,,5,168.8 ,0.051 ,167.4 ,0.051 ,1.0 ,0.395863446,0.6 ,0.051 ,432444,433985,W,
orf19.3177,,5,1554.3 ,0.064 ,1023.9 ,0.064 ,0.7 ,0.094902696,0.6 ,0.064 ,434212,435981,W,
orf19.3176,RIM21,5,376.8 ,0.049 ,354.9 ,0.049 ,0.9 ,0.66235014,0.5 ,0.049 ,437588,435999,C,
orf19.3175,,5,2888.6 ,0.045 ,2111.2 ,0.045 ,0.7 ,0.017507224,0.5 ,0.045 ,440048,438165,C,
orf19.3174,CDC24,5,818.8 ,0.027 ,448.4 ,0.027 ,0.5 ,0.046899932,0.6 ,0.027 ,443366,440832,C,
orf19.3173,,5,1499.4 ,0.034 ,1498.7 ,0.034 ,1.0 ,0.76786171,0.6 ,0.034 ,445544,444864,C,
orf19.3172,,5,0.9 ,0.075 ,11.1 ,0.075 ,1.0 ,0.214558549,0.7 ,0.075 ,446231,446632,W,
orf19.3171,ACH1,5,3627.3 ,0.025 ,3738.9 ,0.025 ,1.0 ,0.648172865,0.6 ,0.025 ,448569,446995,C,
orf19.3170,,5,392.9 ,0.052 ,275.3 ,0.052 ,0.7 ,0.199167384,0.6 ,0.052 ,453568,451382,C,
orf19.3169,,5,1119.1 ,0.050 ,1559.5 ,0.050 ,1.4 ,0.642453889,0.7 ,0.050 ,454903,453845,C,
orf19.3168,RPN8,5,1938.0 ,0.061 ,2252.3 ,0.061 ,1.2 ,0.078319987,0.6 ,0.061 ,455238,456230,W,
orf19.3167,,5,1784.7 ,0.053 ,1266.8 ,0.053 ,0.7 ,0.157507443,0.6 ,0.053 ,456472,457857,W,
orf19.3166,,5,458.6 ,0.065 ,250.8 ,0.065 ,0.5 ,0.930832029,0.6 ,0.065 ,458193,463202,W,
orf19.3163,,5,162.6 ,0.063 ,261.0 ,0.063 ,1.6 ,0.075861036,0.7 ,0.063 ,463418,464404,W,
orf19.3161,,5,1344.4 ,0.063 ,1137.1 ,0.063 ,0.8 ,0.126888663,0.6 ,0.063 ,465402,464440,C,
orf19.3159.4,,5,155.6 ,0.017 ,212.5 ,0.017 ,1.4 ,0.277969699,0.4 ,0.017 ,467497,467790,W,
orf19.4217,,5,27.3 ,0.160 ,1.9 ,0.160 ,1.0 ,0.190224252,0.6 ,0.160 ,474794,475372,W,
orf19.4219,RIX7,5,651.7 ,0.115 ,384.4 ,0.115 ,0.6 ,0.177649539,0.6 ,0.115 ,476853,474370,C,
orf19.4220,,5,323.8 ,0.018 ,621.7 ,0.018 ,1.9 ,0.082828853,0.5 ,0.018 ,477815,477264,C,
orf19.4221,ORC4,5,411.4 ,0.061 ,420.6 ,0.061 ,1.0 ,0.883911423,0.6 ,0.061 ,479720,478026,C,
orf19.4222,SST2,5,87.1 ,0.037 ,95.4 ,0.037 ,1.0 ,0.843051732,0.6 ,0.037 ,480271,482298,W,
orf19.4223,GCD11,5,7426.0 ,0.060 ,5348.0 ,0.060 ,0.7 ,0.098569331,0.6 ,0.060 ,483987,482383,C,
orf19.4225,LEU3,5,744.0 ,0.072 ,451.4 ,0.072 ,0.6 ,0.038412009,0.6 ,0.072 ,487140,484186,C,
orf19.4227,,5,355.3 ,0.017 ,370.2 ,0.017 ,1.0 ,0.338425736,0.6 ,0.017 ,488684,489778,W,
orf19.4228,,5,819.5 ,0.033 ,829.2 ,0.033 ,1.0 ,0.767852477,0.6 ,0.033 ,489979,490962,W,
orf19.4229,,5,804.7 ,0.072 ,734.9 ,0.072 ,0.9 ,0.252105299,0.6 ,0.072 ,491689,491111,C,
orf19.4230,,5,642.7 ,0.040 ,801.3 ,0.040 ,1.2 ,0.71858383,0.6 ,0.040 ,492387,493223,W,
orf19.4231,PTH2,5,40.3 ,0.024 ,10.8 ,0.024 ,1.0 ,0.082956226,0.6 ,0.024 ,498728,499921,W,
orf19.4232,PTH1,5,715.8 ,0.059 ,744.9 ,0.059 ,1.0 ,0.9409987,0.6 ,0.059 ,502899,501490,C,
orf19.4233,THR4,5,2692.8 ,0.060 ,2079.5 ,0.060 ,0.8 ,0.323656514,0.6 ,0.060 ,503329,504861,W,
orf19.4234,,5,2693.7 ,0.064 ,2375.8 ,0.064 ,0.9 ,0.79425572,0.5 ,0.064 ,506321,504930,C,
orf19.4235,PDE1,5,511.8 ,0.038 ,113.4 ,0.038 ,0.2 ,0.875181242,0.5 ,0.038 ,508165,509445,W,
orf19.4236,RET2,5,755.2 ,0.026 ,563.2 ,0.026 ,0.7 ,0.063476344,0.6 ,0.026 ,511369,509648,C,
orf19.4239,,5,10.3 ,0.037 ,14.4 ,0.037 ,1.0 ,0.856474354,0.6 ,0.037 ,513644,511629,C,
orf19.4240,,5,674.5 ,0.071 ,403.5 ,0.071 ,0.6 ,0.039739118,0.6 ,0.071 ,515226,514042,C,
orf19.4241,,5,568.7 ,0.064 ,493.7 ,0.064 ,0.9 ,0.323615777,0.5 ,0.064 ,515686,516000,W,
orf19.4242,CST20,5,286.3 ,0.029 ,74.5 ,0.029 ,0.3 ,0.434696302,0.6 ,0.029 ,521587,517901,C,
orf19.4243,,5,28.9 ,0.027 ,18.2 ,0.027 ,1.0 ,0.301960961,0.4 ,0.027 ,524535,523657,C,
orf19.4244,,5,1.4 ,0.040 ,0.0 ,0.040 ,1.0 ,0.250399314,0.7 ,0.040 ,525349,524873,C,
orf19.4245,,5,124.4 ,0.053 ,84.3 ,0.053 ,0.7 ,0.124190815,0.7 ,0.053 ,527057,525711,C,
orf19.4246,,5,1284.4 ,0.035 ,1449.5 ,0.035 ,1.1 ,0.590152395,0.6 ,0.035 ,529708,531501,W,
orf19.4247,,5,383.7 ,0.030 ,508.0 ,0.030 ,1.3 ,0.604043411,0.5 ,0.030 ,532696,531752,C,
orf19.4248,,5,3665.6 ,0.074 ,3439.6 ,0.074 ,0.9 ,0.203567059,0.6 ,0.074 ,533248,534153,W,
orf19.4250,,5,15.4 ,0.073 ,7.4 ,0.073 ,1.0 ,0.477894345,0.7 ,0.073 ,534751,534227,C,
orf19.4251,ZCF22,5,65.3 ,0.088 ,66.1 ,0.088 ,1.0 ,0.751841434,0.7 ,0.088 ,535579,537678,W,
orf19.4252,,5,287.3 ,0.014 ,358.0 ,0.014 ,1.2 ,0.45418505,0.5 ,0.014 ,538630,537740,C,
orf19.4253,,5,230.9 ,0.033 ,150.6 ,0.033 ,0.7 ,0.188267426,0.6 ,0.033 ,538910,541255,W,
orf19.4255,ECM331,5,7144.9 ,0.028 ,4167.5 ,0.028 ,0.6 ,0.014232905,0.6 ,0.028 ,542775,541534,C,
orf19.4257,INT1,5,358.2 ,0.056 ,120.1 ,0.056 ,0.3 ,0.049006789,0.6 ,0.056 ,547677,553247,W,
orf19.4258,,5,1262.7 ,0.055 ,556.9 ,0.055 ,0.4 ,0.325461568,0.6 ,0.055 ,553778,554758,W,
orf19.4261,TIF5,5,1965.2 ,0.019 ,1670.7 ,0.019 ,0.9 ,0.092767245,0.6 ,0.019 ,556500,555238,C,
orf19.4262,,5,401.1 ,0.041 ,193.3 ,0.041 ,0.5 ,0.119807861,0.6 ,0.041 ,559089,557647,C,
orf19.4263,,5,300.2 ,0.029 ,209.1 ,0.029 ,0.7 ,0.203989769,0.6 ,0.029 ,560499,559336,C,
orf19.4264,,5,47.8 ,0.031 ,44.9 ,0.031 ,1.0 ,0.362128993,0.6 ,0.031 ,562920,563825,W,
orf19.4265,UAP1,5,929.0 ,0.037 ,496.4 ,0.037 ,0.5 ,0.073561078,0.6 ,0.037 ,565078,566538,W,
orf19.4266,SPR28,5,105.3 ,0.024 ,87.2 ,0.024 ,0.8 ,0.984765251,0.6 ,0.024 ,568047,566673,C,
orf19.4268,UTP13,5,1547.6 ,0.033 ,1070.8 ,0.033 ,0.7 ,0.021614798,0.6 ,0.033 ,570509,568110,C,
orf19.4269,,5,537.5 ,0.035 ,418.1 ,0.035 ,0.8 ,0.800997179,0.6 ,0.035 ,572472,570718,C,
orf19.4270,,5,276.9 ,0.020 ,210.3 ,0.020 ,0.8 ,0.291113546,0.6 ,0.020 ,573196,575493,W,
orf19.4273,,5,377.1 ,0.028 ,359.8 ,0.028 ,1.0 ,0.311059138,0.6 ,0.028 ,579346,576587,C,
orf19.4274,PUT1,5,1889.6 ,0.026 ,806.6 ,0.026 ,0.4 ,0.016982823,0.6 ,0.026 ,580957,582426,W,
orf19.4275,RAD9,5,0.8 ,0.027 ,0.0 ,0.027 ,1.0 ,0.363217468,0.6 ,0.027 ,586193,582669,C,
orf19.4278,,5,736.3 ,0.048 ,438.4 ,0.048 ,0.6 ,0.026589364,0.6 ,0.048 ,588725,586716,C,
orf19.4279,MNN1,5,3473.1 ,0.057 ,2528.3 ,0.057 ,0.7 ,0.019343515,0.6 ,0.057 ,591842,589440,C,
orf19.4280,,5,169.3 ,0.052 ,79.6 ,0.052 ,0.5 ,0.243668938,0.6 ,0.052 ,594542,595192,W,
orf19.4281,IFH1,5,723.4 ,0.060 ,347.0 ,0.060 ,0.5 ,0.031735241,0.6 ,0.060 ,596396,595503,C,
orf19.4282,,5,496.2 ,0.036 ,272.1 ,0.036 ,0.5 ,0.919293154,0.6 ,0.036 ,598160,597123,C,
orf19.4283,,5,13383.3 ,0.027 ,9858.8 ,0.027 ,0.7 ,0.09691513,0.6 ,0.027 ,601853,600846,C,
