ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.4600.1,,4,365.2 ,0.096 ,501.4 ,0.096 ,1.4 ,0.107158444,1.0 ,0.096 ,374323,374601,W,
orf19.4600,,4,3701.5 ,0.051 ,4552.1 ,0.051 ,1.2 ,0.158038923,1.1 ,0.051 ,375425,374718,C,
orf19.4599,PHO89,4,18056.6 ,0.140 ,19897.9 ,0.140 ,1.1 ,0.389615144,1.1 ,0.140 ,379777,381579,W,
orf19.4597,,4,1919.1 ,0.067 ,2314.5 ,0.067 ,1.2 ,0.407930242,1.0 ,0.067 ,382277,383152,W,
orf19.4596,,4,493.7 ,0.056 ,600.4 ,0.056 ,1.2 ,0.081864533,1.1 ,0.056 ,384532,383204,C,
orf19.4595,,4,309.2 ,0.049 ,394.8 ,0.049 ,1.3 ,0.166022439,1.0 ,0.049 ,385399,386712,W,
orf19.4594,,4,1919.8 ,0.043 ,2031.3 ,0.043 ,1.1 ,0.723242822,1.0 ,0.043 ,387462,386785,C,
orf19.4593.1,,4,1624.3 ,0.081 ,1530.4 ,0.081 ,0.9 ,0.798673224,1.0 ,0.081 ,387911,388147,W,
orf19.4593,RGA2,4,72.3 ,0.105 ,156.3 ,0.105 ,2.2 ,0.229634951,1.1 ,0.105 ,391839,388309,C,
orf19.4592,HSX11,4,238.6 ,0.086 ,197.8 ,0.086 ,0.8 ,0.186391268,1.1 ,0.086 ,396564,394930,C,
orf19.4591,CAT2,4,3148.3 ,0.070 ,2520.4 ,0.070 ,0.8 ,0.157139197,1.0 ,0.070 ,398208,400106,W,
orf19.4590,RFX2,4,6.6 ,0.063 ,11.0 ,0.063 ,1.0 ,0.298566773,1.0 ,0.063 ,405150,408485,W,
orf19.4589,,4,255.2 ,0.058 ,342.2 ,0.058 ,1.3 ,0.991398865,1.0 ,0.058 ,409049,410482,W,
orf19.4587,HGH1,4,1299.9 ,0.055 ,1521.1 ,0.055 ,1.2 ,0.255654183,1.0 ,0.055 ,410614,411702,W,
orf19.4585,TFG1,4,1837.7 ,0.063 ,1695.5 ,0.063 ,0.9 ,0.30592459,1.1 ,0.063 ,413643,411817,C,
orf19.4584,PHO114,4,397.2 ,0.061 ,294.7 ,0.061 ,0.7 ,0.144466446,1.0 ,0.061 ,414515,415885,W,
orf19.4583,,4,623.6 ,0.045 ,665.4 ,0.045 ,1.1 ,0.655741317,1.1 ,0.045 ,416212,417141,W,
orf19.4582,,4,1084.2 ,0.060 ,1296.6 ,0.060 ,1.2 ,0.26553547,1.0 ,0.060 ,417943,417221,C,
orf19.4581,,4,82.3 ,0.059 ,101.8 ,0.059 ,1.2 ,0.394454515,1.0 ,0.059 ,419330,418134,C,
orf19.4580,,4,585.8 ,0.067 ,777.6 ,0.067 ,1.3 ,0.11327217,1.0 ,0.067 ,419541,420074,W,
orf19.4579,,4,1533.8 ,0.070 ,1383.3 ,0.070 ,0.9 ,0.76562769,1.0 ,0.070 ,421118,422044,W,
orf19.4578,CYT2,4,319.5 ,0.062 ,388.5 ,0.062 ,1.2 ,0.084544606,1.0 ,0.062 ,422377,423132,W,
orf19.4577.3,,4,172.1 ,0.091 ,126.9 ,0.091 ,0.7 ,0.153429093,1.0 ,0.091 ,423542,423267,C,
orf19.4577,,4,4465.4 ,0.100 ,4745.1 ,0.100 ,1.1 ,0.716207232,1.1 ,0.100 ,427083,423772,C,
orf19.4575,,4,123.3 ,0.062 ,103.4 ,0.062 ,0.8 ,0.504038764,1.0 ,0.062 ,429978,427664,C,
