"","ORF","Gene","Ch","Mean","sd","Mean.1","sd.1","X3153A","p.paired","X3153A.1","sd.2","start","end","strand","X"
"188","orf19.4584","PHO114","4",397.2,279.973327322313,294.7,190.21328629858,0.7,0.144466446,1,0.061,414515,415885,"W",NA
"189","orf19.4583","","4",623.6,456.673410919176,665.4,545.660875819853,1.1,0.655741317,1.1,0.045,416212,417141,"W",NA
"190","orf19.4582","","4",1084.2,272.153804763076,1296.6,460.422871510827,1.2,0.26553547,1,0.06,417943,417221,"C",NA
"191","orf19.4581","","4",82.3,73.3039953322693,101.8,66.9564518872352,1.2,0.394454515,1,0.059,419330,418134,"C",NA
"192","orf19.4580","","4",585.8,118.698279620379,777.6,133.741272618996,1.3,0.11327217,1,0.067,419541,420074,"W",NA
"193","orf19.4579","","4",1533.8,582.724645610836,1383.3,489.508116555742,0.9,0.76562769,1,0.07,421118,422044,"W",NA
"194","orf19.4578","CYT2","4",319.5,254.520793869676,388.5,254.838113240651,1.2,0.084544606,1,0.062,422377,423132,"W",NA
"195","orf19.4577.3","","4",172.1,128.606596264534,126.9,107.926206338020,0.7,0.153429093,1,0.091,423542,423267,"C",NA
"196","orf19.4577","","4",4465.4,2483.63981429735,4745.1,2522.27723207233,1.1,0.716207232,1.1,0.1,427083,423772,"C",NA
"197","orf19.4575","","4",123.3,112.838830720118,103.4,65.5707384354404,0.8,0.504038764,1,0.062,429978,427664,"C",NA
"198","orf19.4574","","4",133.4,86.4084894969742,177.2,72.0610852784118,1.3,0.241623576,1.1,0.094,431876,430206,"C",NA
"199","orf19.4573","ZCF26","4",92.6,50.3151915142029,113.6,66.756483233765,1.2,0.149818436,1,0.082,434656,432164,"C",NA
"200","orf19.4571","","4",35.3,37.0633917498113,58.7,52.7693847395045,NA,0.033853496,1,0.112,436868,435219,"C",NA
"201","orf19.4570","","4",378.7,156.958893896436,337.4,244.119208219054,0.9,0.692536432,1,0.17,437692,437252,"C",NA
"202","orf19.4569","","4",251.5,141.422091179147,258.8,157.870330727715,1,0.831659008,1,0.11,437980,438774,"W",NA
"203","orf19.4568","ZCF25","4",0,0,0.1,0.0938601382075,NA,0.363217468,1,0.047,441248,438831,"C",NA
"204","orf19.4567","","4",146.1,149.638410254038,87.3,96.7427608729244,0.6,0.183879432,1,0.088,443019,442108,"C",NA
"205","orf19.4566","","4",7.3,17.3927849264863,9.2,15.4906018559977,NA,0.691938236,1.1,0.179,444363,443782,"C",NA
"206","orf19.4565","BGL2","4",11862.5,6735.69833570863,9575.5,4700.72227997522,0.8,0.206909643,1,0.031,445653,444727,"C",NA
